"cosHig","Points:0","Points:1","Points:2"
0,3862.5,18.75,0
0,3881.2,18.75,0
0,3900,18.75,0
0,3918.8,18.75,0
0,3937.5,18.75,0
0,3956.2,18.75,0
0,3975,18.75,0
0,3993.8,18.75,0
0,4012.5,18.75,0
0,4031.2,18.75,0
0,4050,18.75,0
0,4068.8,18.75,0
0,4087.5,18.75,0
0,4106.2,18.75,0
0,4125,18.75,0
0,4143.8,18.75,0
0,4162.5,18.75,0
0,4181.2,18.75,0
0,4200,18.75,0
0,4218.8,18.75,0
0,4237.5,18.75,0
0,4256.2,18.75,0
0,4275,18.75,0
0,4293.8,18.75,0
0,4312.5,18.75,0
0,4331.2,18.75,0
0,4350,18.75,0
0,4368.8,18.75,0
0,4387.5,18.75,0
0,4406.2,18.75,0
0,4425,18.75,0
0,4443.8,18.75,0
0,4462.5,18.75,0
0,4481.2,18.75,0
0,4500,18.75,0
0,4518.8,18.75,0
0,4537.5,18.75,0
0,4556.2,18.75,0
0,4575,18.75,0
0,4593.8,18.75,0
0,4612.5,18.75,0
0,4631.2,18.75,0
0,4650,18.75,0
0,4668.8,18.75,0
0,4687.5,18.75,0
0,4706.2,18.75,0
0,4725,18.75,0
0,4743.8,18.75,0
0,4762.5,18.75,0
0,4781.2,18.75,0
0,4800,18.75,0
0,4818.8,18.75,0
0,4837.5,18.75,0
0,4856.2,18.75,0
0,4875,18.75,0
0,4893.8,18.75,0
0,4912.5,18.75,0
0,4931.2,18.75,0
0,4950,18.75,0
0,4968.8,18.75,0
0,4987.5,18.75,0
0,5006.2,18.75,0
0,5025,18.75,0
0,5043.8,18.75,0
0,5062.5,18.75,0
0,5081.2,18.75,0
0,5100,18.75,0
0,5118.8,18.75,0
0,5137.5,18.75,0
0,5156.2,18.75,0
0,5175,18.75,0
0,5193.8,18.75,0
0,5212.5,18.75,0
0,5231.2,18.75,0
0,5250,18.75,0
0,5268.8,18.75,0
0,5287.5,18.75,0
0,5306.2,18.75,0
0,5325,18.75,0
0,5343.8,18.75,0
0,5362.5,18.75,0
0,5381.2,18.75,0
0,5400,18.75,0
0,5418.8,18.75,0
0,5437.5,18.75,0
0,5456.2,18.75,0
0,5475,18.75,0
0,5493.8,18.75,0
0,5512.5,18.75,0
0,5531.2,18.75,0
0,5550,18.75,0
0,5568.8,18.75,0
0,5587.5,18.75,0
0,5606.2,18.75,0
0,5625,18.75,0
0,5643.8,18.75,0
0,5662.5,18.75,0
0,5681.2,18.75,0
0,5700,18.75,0
0,5718.8,18.75,0
0,5737.5,18.75,0
0,5756.2,18.75,0
0,5775,18.75,0
0,5793.8,18.75,0
0,5812.5,18.75,0
0,5831.2,18.75,0
0,5850,18.75,0
0,5868.8,18.75,0
0,5887.5,18.75,0
0,5906.2,18.75,0
0,5925,18.75,0
0,5943.8,18.75,0
